code,label,description
E02_04,,Grounds of discrimination – Ethnic background (% yes to E01 selecting this option)
E02_05,,Grounds of discrimination – Gender (% yes to E01 selecting this option)
E02_06,,Grounds of discrimination – Gender reassignment or perceived gender (% yes to E01 selecting this option)
E02_07,,Grounds of discrimination – Grade or responsibility level (% yes to E01 selecting this option)
E02_08,,Grounds of discrimination – Main spoken/written language or language ability (% yes to E01 selecting this option)
E02_09,,Grounds of discrimination – Marital status or civil partnership (% yes to E01 selecting this option)
E02_10,,Grounds of discrimination – Mental health (% yes to E01 selecting this option)
E02_11,,Grounds of discrimination – Pay (% yes to E01 selecting this option)
E02_12,,"Grounds of discrimination – Pregnancy, maternity or paternity (% yes to E01 selecting this option)"
E02_13,,Grounds of discrimination – Religion or belief (% yes to E01 selecting this option)
E02_14,,Grounds of discrimination – Sex (% yes to E01 selecting this option)
E02_15,,Grounds of discrimination – Sexual orientation (% yes to E01 selecting this option)
E02_16,,Grounds of discrimination – Social or educational background (% yes to E01 selecting this option)
E02_17,,Grounds of discrimination – Working location (% yes to E01 selecting this option)
E02_18,,Grounds of discrimination – Working pattern (% yes to E01 selecting this option)
E02_19,,Grounds of discrimination – Any other grounds (% yes to E01 selecting this option)
E02_20,,Grounds of discrimination – Prefer not to say (% yes to E01 selecting this option)
E03,,"Have you been bullied or harassed at work, in the past 12 months? (% yes)"
E03A_01,,Nature of bullying and/or harassment – Comments about my personal appearance (% yes to E03 selecting this option)
E03A_02,,"Nature of bullying and/or harassment – Sexual harassment (e.g. sexual comments or jokes, unwelcome sexual advances, touching or assault) (% yes to E03 selecting this option)"
E03A_03,,Nature of bullying and/or harassment – Spreading gossip or making false accusations about me (% yes to E03 selecting this option)
E03A_04,,"Nature of bullying and/or harassment – Intimidation or verbal aggression (e.g. shouting, swearing, making threats) (% yes to E03 selecting this option)"
E03A_05,,"Nature of bullying and/or harassment – Physical assault (e.g. object thrown at me, pushed, hit)  (% yes to E03 selecting this option)"
E03A_06,,Nature of bullying and/or harassment – Humiliated in front of team or others (% yes to E03 selecting this option)
E03A_07,,Nature of bullying and/or harassment – Negative Micromanagement (e.g. excessive control; made to feel incompetent) (% yes to E03 selecting this option)
E03A_08,,"Nature of bullying and/or harassment – Removal of job responsibilities, unconstructive criticism, or impossible/changing expectations (% yes to E03 selecting this option)"
E03A_09,,Nature of bullying and/or harassment – Treated less favourably to others (% yes to E03 selecting this option)
E03A_10,,"Nature of bullying and/or harassment – Ignored, excluded, marginalised (% yes to E03 selecting this option)"
E03A_11,,Nature of bullying and/or harassment – Undermining or taking credit for my work (% yes to E03 selecting this option)
E03A_12,,Nature of bullying and/or harassment – Denied time off for personal ill health (% yes to E03 selecting this option)
E03A_13,,Nature of bullying and/or harassment – Denied time off for family or caring responsibilities (% yes to E03 selecting this option)
E03A_14,,Nature of bullying and/or harassment – Disclosure of personal/sensitive information to colleagues without my consent (% yes to E03 selecting this option)
E03A_15,,Nature of bullying and/or harassment – Unhelpful comments about my mental health or being off sick (% yes to E03 selecting this option)
E03A_16,,Nature of bullying and/or harassment – Something else not listed here (% yes to E03 selecting this option)
E03A_17,,Nature of bullying and/or harassment – Prefer not to say (% yes to E03 selecting this option)
E04_01,,Who bullied and/or harassed you? – A colleague in my Area/Directorate/Division (% yes to E03 selecting this option)
E04_02,,Who bullied and/or harassed you? – A colleague in a different Area/Directorate/Division of [my organisation]  (% yes to E03 selecting this option)
E04_03,,Who bullied and/or harassed you? – My manager (% yes to E03 selecting this option)
E04_04,,Who bullied and/or harassed you? – Another senior member of staff in [my organisation] (% yes to E03 selecting this option)
E04_05,,Who bullied and/or harassed you? – Someone I manage (% yes to E03 selecting this option)
E04_06,,Who bullied and/or harassed you? – Someone working in a different Civil Service organisation (% yes to E03 selecting this option)
E04_07,,Who bullied and/or harassed you? – Someone working for a non to Civil Service organisation (% yes to E03 selecting this option)
E04_08,,Who bullied and/or harassed you? – A contractor (% yes to E03 selecting this option)
E04_09,,"Who bullied and/or harassed you? – A service user (e.g. customer, claimant, offender) (% yes to E03 selecting this option)"
E04_10,,Who bullied and/or harassed you? – A member of the public (% yes to E03 selecting this option)
E04_11,,Who bullied and/or harassed you? – Someone else not listed here (% yes to E03 selecting this option)
E04_12,,Who bullied and/or harassed you? – Prefer not to say (% yes to E03 selecting this option)
E05,,Did you report your experience of bullying and/or harassment? (% yes)
E06_A,,Appropriate action was taken to address the behaviour I experienced (% yes)
E06_B,,The bullying and/or harassment has stopped (% yes)
E06_C,,The culture in my area allows this kind of behaviour to continue (% yes)
E06_D,,I felt like I was punished for reporting the incident (% yes)
W01,,"Overall, how satisfied are you with your life nowadays? (% rating 7 to 10, where 10 is 'completely satisfied')"
W02,,"Overall, to what extent do you feel the things you do in your life are worthwhile? (% rating 7 to 10, where 10 is 'worthwhile')"
W03,,"Overall, how happy did you feel yesterday? (% rating 7 to 10, where 10 is 'completely happy')"
W04,,"Overall, how anxious did you feel yesterday? (% rating 6 to 10, where 10 is 'completely anxious')"
J04B,,"In general, how would you rate your overall mental health now? (% rating 'excellent', 'very good' or 'good')"
W05,,"In general, how would you rate your overall physical health now? (% rating 'excellent', 'very good' or 'good')"
W07,,How often do you feel lonely? (% rating 'often or always')
W08,,The people in my team genuinely care about my wellbeing (% rating 'strongly agree' or 'agree')
