code,label,description
B41,"Overall, I have confidence in the decisions made by [my organisation's senior managers]",Results are a percentage of respondents who “agree” or “strongly agree” 
B42,I feel that change is managed well in [my organisation],Results are a percentage of respondents who “agree” or “strongly agree” 
B43,When changes are made in [my organisation] they are usually for the better,Results are a percentage of respondents who “agree” or “strongly agree” 
B44,[My organisation] keeps me informed about matters that affect me,Results are a percentage of respondents who “agree” or “strongly agree” 
B45,I have the opportunity to contribute my views before decisions are made that affect me,Results are a percentage of respondents who “agree” or “strongly agree” 
B46,I think it is safe to challenge the way things are done in [my organisation],Results are a percentage of respondents who “agree” or “strongly agree” 
B47,I am proud when I tell others I am part of [my organisation] ,Results are a percentage of respondents who “agree” or “strongly agree” 
B48,I would recommend [my organisation] as a great place to work,Results are a percentage of respondents who “agree” or “strongly agree” 
B49,I feel a strong personal attachment to [my organisation],Results are a percentage of respondents who “agree” or “strongly agree” 
B50,[My organisation] inspires me to do the best in my job,Results are a percentage of respondents who “agree” or “strongly agree” 
B51,[My organisation] motivates me to help it achieve its objectives,Results are a percentage of respondents who “agree” or “strongly agree” 
B52,,I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree)
B53,,"Where I work, I think effective action has been taken on the results of the last survey (% strongly agree or agree)"
B54,,I am trusted to carry out my job effectively (% strongly agree or agree)
B55,,"I believe I would be supported if I try a new idea, even if it may not work (% strongly agree or agree)"
B56,,"In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk (% strongly agree or agree)"
B57,,I feel able to challenge inappropriate behaviour in the workplace (% strongly agree or agree)
B58,,My organisation is committed to creating a diverse and inclusive workplace (% strongly agree or agree)
B59,,I am aware of the Civil Service vision for 'A Brilliant Civil Service' (% strongly agree or agree)
B60,,Managers in my Area/Directorate/Division actively role model the behaviours set out in the Civil Service Leadership Statement (% always or most of the time)
C01,Future intentions,Question C01. Question C01 has four response options and respondents can only select one of the options. The benchmark score is the median proportion of responses to each option.
C01_1,I want to leave [my organisation] as soon as possible,Results are the percentage of respondents who selected this answer for question C01
C01_2,I want to leave [my organisation] within the next 12 months,Results are the percentage of respondents who selected this answer for question C01
C01_3,I want to stay working for [my organisation] for at least the next year,Results are the percentage of respondents who selected this answer for question C01
C01_4,I want to stay working for [my organisation] for at least the next three years,Results are the percentage of respondents who selected this answer for question C01
D01,Are you aware of the Civil Service Code?,Results are the percentage of respondents answering ‘yes’
D02,Are you aware of how to raise a concern under the Civil Service Code?,Results are the percentage of respondents answering ‘yes’
D03,Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,Results are the percentage of respondents answering ‘yes’
E01,Discrimination at work,"Have you been discriminated against at work, in the past 12 months? (% yes)"
E02,Grounds for discrimination,
E02_01,Age,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_02,Caring responsibilities,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_03,Disability,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_04,Ethnic background,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_05,Gender,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_06,Gender reassignment or perceived gender,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_07,Grade or responsibility level,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_08,Main spoken/written language or language ability,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_09,Marital status or civil partnership,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_10,Mental health,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_11,Pay,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_12,"Pregnancy, maternity or paternity (% yes to E01 selecting this option)",Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_13,Religion or belief,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_14,Sex,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_15,Sexual orientation,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_16,Social or educational background,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_17,Working location,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_18,Working pattern,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_19,Any other grounds,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E02_20,Prefer not to say,Results are the percentage of respondents who answered ‘yes’ to question E01 and also this option
E03,Bullying and harassment at work,"Have you been bullied or harassed at work, in the past 12 months? (%yes)"
E03A,Nature of bullying and/or harassment,
E03A_01,Comments about my personal appearance,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_02,"Sexual harassment (e.g. sexual comments or jokes, unwelcome sexual advances, touching or assault)",Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_03,Spreading gossip or making false accusations about me,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_04,"Intimidation or verbal aggression (e.g. shouting, swearing, making threats)",Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_05,"Physical assault (e.g. object thrown at me, pushed, hit) ",Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_06,Humiliated in front of team or others,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_07,Negative Micromanagement (e.g. excessive control; made to feel incompetent),Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_08,"Removal of job responsibilities, unconstructive criticism, or impossible/changing expectations",Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_09,Treated less favourably to others,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_10,"Ignored, excluded, marginalised",Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_11,Undermining or taking credit for my work,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_12,Denied time off for personal ill health,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_13,Denied time off for family or caring responsibilities,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_14,Disclosure of personal/sensitive information to colleagues without my consent,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_15,Unhelpful comments about my mental health or being off sick,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_16,Something else not listed here,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E03A_17,Prefer not to say,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04,Who bullied and/or harassed you?,
E04_01,A colleague in my Area/Directorate/Division,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_02,A colleague in a different Area/Directorate/Division of [my organisation] ,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_03,My manager,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_04,Another senior member of staff in [my organisation],Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_05,Someone I manage,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_06,Someone working in a different Civil Service organisation,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_07,Someone working for a non to Civil Service organisation,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_08,A contractor,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_09,"A service user (e.g. customer, claimant, offender)",Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_10,A member of the public,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_11,Someone else not listed here,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E04_12,Prefer not to say,Results are the percentage of respondents who answered ‘yes’ to question E03 and also this option
E05,Did you report your experience of bullying and/or harassment?,Results are the percentage of respondents answering ‘yes’
E06,Responding to bullying and harassment,
E06_A,Appropriate action was taken to address the behaviour I experienced,Results are the percentage of respondents answering ‘yes’
E06_B,The bullying and/or harassment has stopped,Results are the percentage of respondents answering ‘yes’
E06_C,The culture in my area allows this kind of behaviour to continue,Results are the percentage of respondents answering ‘yes’
E06_D,I felt like I was punished for reporting the incident,Results are the percentage of respondents answering ‘yes’
W01,"Overall, how satisfied are you with your life nowadays? ","Results are the percentage of respondents rating 7 to 10, where 10 is 'completely satisfied'"
W02,"Overall, to what extent do you feel the things you do in your life are worthwhile?","Results are the percentage of respondents rating 7 to 10, where 10 is 'worthwhile'"
W03,"Overall, how happy did you feel yesterday? ","Results are the percentage of respondents rating 7 to 10, where 10 is 'completely happy'"
W04,"Overall, how anxious did you feel yesterday? ","Results are the percentage of respondents rating 6 to 10, where 10 is 'completely anxious'"
J04B,"In general, how would you rate your overall mental health now?","Results are the percentage of respondents rating 'excellent', 'very good' or 'good'"
W05,"In general, how would you rate your overall physical health now? ","Results are the percentage of respondents rating 'excellent', 'very good' or 'good'"
W07,How often do you feel lonely?,Results are the percentage of respondents rating 'often or always'
W08,The people in my team genuinely care about my wellbeing,Results are the percentage of respondents rating 'strongly agree' or 'agree'
